Id,LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,OpenPorchSF,MoSold,SalePrice,TotalSF,Baths_Total,Age_Sold,PorchSF_Total
251,55.0,5350,3,1940,1966,0,728,728,1306,1,6,0,0,0,0,5,76500,2034,1.0,70,263
252,44.0,4750,8,2006,2007,1573,0,1573,1625,2,5,1,2,538,0,12,235000,3198,3.5,1,276
253,65.0,8366,6,2004,2004,0,798,798,1640,2,6,0,2,520,45,12,173000,2438,2.5,4,183
254,85.0,9350,6,1964,1991,270,452,1302,1302,2,7,0,1,309,0,10,158000,2604,2.5,43,333
255,70.0,8400,5,1957,1957,922,392,1314,1314,1,5,0,1,294,0,6,145000,2628,2.0,53,250
256,66.0,8738,7,1999,1999,0,975,975,2291,2,8,1,2,429,0,2,230000,3266,2.5,7,192
257,64.0,8791,6,2003,2003,503,361,864,1728,2,7,0,2,673,56,5,207500,2592,2.5,5,272
258,68.0,8814,7,2006,2006,1334,270,1604,1604,2,8,1,2,660,110,3,220000,3208,3.5,3,233
259,80.0,12435,7,2001,2001,361,602,963,1792,2,7,1,2,564,96,5,231500,2755,2.5,7,341
260,70.0,12702,5,1956,1956,0,0,0,882,1,4,0,1,308,45,12,97000,882,1.0,52,45
261,120.0,19296,6,1962,1962,672,0,1362,1382,1,6,1,2,884,0,5,176000,2744,2.0,47,252
262,69.0,9588,8,2007,2007,0,1482,1482,2574,2,10,1,3,868,148,11,276000,4056,2.5,0,148
263,88.0,8471,6,1977,1995,506,0,506,1212,1,6,1,2,492,12,7,151000,1718,2.0,29,304
264,50.0,5500,5,1929,2001,234,0,926,1316,1,6,0,2,484,0,4,130000,2242,2.0,81,0
265,30.0,5232,5,1925,2004,0,680,680,764,1,4,0,2,504,0,6,73000,1444,1.0,83,0
266,78.0,12090,6,1981,1981,588,606,1422,1422,2,7,1,2,576,0,6,175500,2844,2.0,27,276
267,70.0,11207,6,1997,1997,714,88,802,1511,2,8,1,2,413,75,6,185000,2313,3.5,9,170
268,60.0,8400,5,1939,1997,378,342,720,2192,2,8,1,1,240,24,7,179500,2912,2.5,69,286
269,71.0,6900,5,1940,1955,403,212,740,778,1,4,1,1,924,25,2,120500,1518,1.0,68,25
270,65.5,7917,6,1976,1976,751,392,1143,1113,1,6,1,1,504,30,5,148000,2256,2.5,31,400
271,84.0,10728,8,2006,2006,0,1095,1095,1939,2,8,1,3,1053,51,8,266000,3034,2.5,0,243
272,73.0,39104,7,1954,2005,226,96,1385,1363,1,5,2,2,439,0,4,241500,2748,2.0,54,81
273,92.0,11764,8,1999,2007,524,628,1152,2270,2,9,1,3,671,57,4,290000,3422,2.5,11,189
274,80.0,9600,6,1958,1988,620,0,1240,1632,2,6,1,1,338,0,4,139000,2872,3.0,51,289
275,76.0,8314,5,1982,1982,546,270,816,816,1,5,0,1,264,0,6,124500,1632,1.0,25,168
276,55.0,7264,7,1925,2007,0,952,952,1548,2,5,0,2,672,0,10,205000,2500,2.5,84,218
277,129.0,9196,7,2003,2003,0,1560,1560,1560,2,7,0,2,573,150,4,201000,3120,2.0,7,250
278,140.0,19138,4,1951,1951,120,744,864,864,1,4,0,2,400,0,6,141000,1728,1.0,59,0
279,107.0,14450,9,2006,2007,0,2121,2121,2121,2,8,1,3,732,98,5,415298,4242,2.5,1,364
280,83.0,10005,7,1977,1977,392,768,1160,2022,2,8,1,2,505,117,3,192000,3182,2.5,31,405
281,82.0,11287,7,1989,1989,421,386,807,1982,2,7,1,2,575,84,1,228500,2789,2.5,18,280
282,60.0,7200,6,2006,2006,905,357,1262,1262,2,5,0,2,572,120,5,185000,2524,2.0,0,120
283,34.0,5063,7,2007,2008,904,410,1314,1314,2,6,1,2,626,62,4,207500,2628,3.0,2,234
284,74.0,9612,8,2008,2009,0,1468,1468,1468,2,6,1,3,898,150,12,244600,2936,2.0,1,360
285,50.0,8012,6,1992,1992,430,1145,1575,1575,2,5,0,2,529,0,7,179200,3150,3.0,15,52
286,35.0,4251,7,2006,2007,0,625,625,1250,2,5,0,2,528,54,6,164700,1875,2.5,1,54
287,77.0,9786,6,1962,1981,600,312,912,1734,1,7,1,2,440,0,6,159000,2646,1.5,44,128
288,73.0,8125,4,1971,1971,614,244,858,858,1,5,0,0,0,0,6,88000,1716,1.0,35,0
289,71.0,9819,5,1967,1967,450,432,882,900,1,5,0,1,280,0,2,122000,1782,1.0,43,0
290,60.0,8730,6,1915,2003,0,698,698,1396,1,7,0,1,384,0,7,153575,2094,1.0,92,259
291,120.0,15611,8,2006,2006,0,1079,1079,1919,2,8,1,2,685,51,7,233230,2998,2.5,0,51
292,55.0,5687,5,1912,2000,210,570,780,1716,2,9,0,0,0,184,3,135900,2496,3.0,96,184
293,60.0,11409,5,1949,2008,292,476,768,1716,1,8,1,1,281,0,1,131000,2484,1.5,60,160
294,80.0,16659,7,1977,1994,795,0,795,2263,2,9,1,2,539,250,3,235000,3058,3.5,29,250
295,80.0,9600,6,1953,1953,1285,131,1416,1644,1,7,2,2,418,0,10,167000,3060,2.0,56,110
296,37.0,7937,6,1984,1984,819,184,1003,1003,1,6,0,2,588,0,3,142500,2006,2.0,22,120
297,75.0,13710,5,1950,1950,420,490,910,1558,1,6,0,1,282,0,6,152000,2468,1.5,57,289
298,66.0,7399,7,1997,1998,649,326,975,1950,2,7,1,2,576,10,6,239000,2925,2.5,10,208
299,90.0,11700,6,1968,1968,384,143,702,1743,1,7,1,2,539,0,6,175000,2445,2.5,39,224
300,80.0,14000,6,1950,2004,0,1092,1092,1152,1,6,1,1,300,36,8,158500,2244,1.5,59,36
301,90.0,15750,5,1953,1953,841,324,1165,1336,1,5,2,1,375,0,6,157000,2501,2.0,53,0
302,66.0,16226,8,1998,1999,281,747,1028,2452,2,9,1,2,683,50,5,267000,3480,2.5,9,258
303,118.0,13704,7,2001,2002,0,1541,1541,1541,2,6,1,3,843,81,1,205000,3082,2.0,5,549
304,70.0,9800,5,1972,1972,894,0,894,894,1,5,0,2,552,0,7,149900,1788,2.0,34,256
305,87.0,18386,7,1880,2002,0,1470,1470,3493,3,10,1,3,870,0,5,295000,4963,3.0,128,302
306,80.0,10386,8,2004,2005,1464,536,2000,2000,2,8,0,3,888,0,7,305900,4000,3.0,3,168
307,116.0,13474,7,1990,1991,700,0,700,2243,2,8,1,3,746,44,6,225000,2943,3.5,17,395
308,60.0,7920,6,1920,1950,0,319,319,1406,1,6,0,0,0,144,3,89500,1725,1.0,88,144
309,65.5,12342,4,1940,1950,262,599,861,861,1,4,0,2,539,0,3,82500,1722,1.0,69,158
310,90.0,12378,9,2003,2004,1274,622,1896,1944,2,8,3,3,708,175,11,360000,3840,3.0,3,383
311,65.0,7685,6,1993,1994,518,179,697,1501,2,6,1,2,420,63,5,165600,2198,2.5,13,253
312,50.0,8000,6,1948,2002,680,292,972,972,1,5,1,1,240,0,5,132000,1944,2.0,61,0
313,65.0,7800,5,1939,1950,507,286,793,1118,1,5,1,2,410,0,5,119900,1911,2.0,67,271
314,150.0,215245,7,1965,1965,1236,80,2136,2036,2,8,2,2,513,0,6,375000,4172,4.0,44,0
315,60.0,9600,7,1925,1990,16,712,728,1641,1,6,1,2,546,0,8,178000,2369,2.0,81,234
316,71.0,7795,7,2004,2005,425,291,716,1432,2,6,1,2,432,51,7,188500,2148,3.5,5,151
317,94.0,13005,7,1980,1980,692,153,845,2353,2,10,1,2,484,195,8,260000,3198,3.5,29,483
318,75.0,9000,8,2006,2006,0,1088,1088,1959,2,8,1,3,1025,46,12,270000,3047,2.5,1,254
319,90.0,9900,7,1993,1993,987,360,1347,2646,2,9,1,3,656,60,4,260000,3993,3.5,16,544
320,80.0,14115,7,1980,1980,1036,336,1372,1472,2,6,2,2,588,48,6,187500,2844,3.0,29,281
321,111.0,16259,9,2006,2006,0,1249,1249,2596,3,9,0,3,840,154,9,342643,3845,3.5,0,394
322,99.0,12099,8,2004,2004,970,166,1136,2468,2,10,1,3,872,154,6,354000,3604,3.5,3,338
323,86.0,10380,7,1986,1987,28,0,1502,2730,2,8,1,2,576,96,8,301000,4232,3.5,21,297
324,49.0,5820,3,1955,2005,256,906,1162,1163,1,6,0,1,220,98,7,126175,2325,2.0,51,240
325,96.0,11275,7,1967,2007,0,710,710,2978,2,11,1,2,564,0,6,242000,3688,2.5,43,240
326,50.0,5000,5,1941,1950,116,604,720,803,1,5,0,2,360,0,12,87000,1523,1.0,66,244
327,32.0,10846,8,1993,1993,1619,100,1719,1719,1,6,2,2,473,30,5,324000,3438,3.5,15,152
328,80.0,11600,6,1960,1960,565,818,1383,1383,1,7,0,1,292,45,4,145250,2766,1.5,46,45
329,52.0,11888,6,1916,1994,0,844,844,2134,2,10,0,2,441,60,7,214500,2978,2.0,93,328
330,60.0,6402,5,1920,1950,0,596,596,1192,1,6,0,1,189,0,7,78000,1788,1.0,89,137
331,73.0,10624,5,1964,1964,40,1424,1728,1728,2,10,0,1,352,0,11,119000,3456,2.5,43,155
332,70.0,8176,5,1958,1992,846,210,1056,1056,1,6,0,1,308,0,8,139000,2112,2.0,49,0
333,85.0,10655,8,2003,2004,1124,1603,3206,1629,2,7,1,3,880,0,10,284000,4835,3.0,6,0
334,59.0,8198,7,2004,2004,720,638,1358,1358,2,6,1,2,484,30,7,207000,2716,3.0,4,222
335,59.0,9042,6,1998,1998,828,115,943,1638,2,7,2,2,472,38,7,192000,2581,3.5,10,138
336,85.0,164660,5,1965,1965,1249,103,1499,1786,2,7,2,2,529,0,8,228950,3285,4.0,43,670
337,86.0,14157,9,2005,2006,1249,673,1922,1922,2,8,1,3,676,51,7,377426,3844,3.0,2,229
338,70.0,9135,7,2002,2003,810,726,1536,1536,2,7,0,2,532,74,12,214000,3072,3.0,6,266
339,91.0,14145,7,1984,1998,213,995,1208,1621,2,8,0,2,440,45,5,202500,2829,3.0,22,153
340,66.0,12400,6,1958,1998,585,630,1215,1215,1,6,0,1,297,0,6,155000,2430,1.0,51,234
341,85.0,14191,8,2002,2002,0,967,967,1908,2,9,0,2,431,0,4,202900,2875,2.5,8,135
342,60.0,8400,4,1950,1950,0,721,721,841,1,4,0,1,294,0,9,82000,1562,1.0,59,274
343,73.0,8544,3,1949,1950,0,0,0,1040,2,6,0,2,400,0,5,87500,1040,2.0,57,0
344,63.0,8849,9,2005,2005,28,1656,1684,1684,2,6,1,2,564,72,7,266000,3368,2.0,3,567
345,36.0,2592,5,1976,1976,129,175,536,1112,1,4,0,1,336,0,4,85000,1648,1.5,34,182
346,65.0,6435,6,1939,1950,0,972,972,1577,1,6,1,1,312,0,10,140200,2549,1.0,67,0
347,73.0,12772,6,1960,1998,498,460,958,958,1,5,0,1,301,0,4,151500,1916,1.0,47,0
348,73.0,17600,6,1960,1960,1270,208,1478,1478,2,6,2,2,498,40,12,157500,2956,3.0,49,40
349,36.0,2448,7,2003,2004,573,191,764,1626,2,6,0,2,474,27,10,154000,2390,3.5,5,27
350,56.0,20431,9,2005,2006,1410,438,1848,2728,2,10,2,3,706,0,4,437154,4576,3.5,1,0
351,68.0,7820,9,2007,2007,0,1869,1869,1869,2,6,1,2,617,54,12,318061,3738,2.0,0,264
352,80.0,5271,7,1986,1986,1082,371,1453,1453,1,6,1,2,445,80,12,190000,2906,2.5,20,264
353,60.0,9084,5,1941,1950,236,0,616,1111,1,5,0,1,200,0,3,95000,1727,1.5,67,48
354,60.0,8520,6,1928,2003,0,624,624,720,1,5,0,2,484,0,5,105900,1344,1.0,82,106
355,60.0,8400,6,1940,2000,388,552,940,1595,1,6,2,1,240,0,6,140000,2535,1.0,66,108
356,105.0,11249,6,1995,1995,334,322,1200,1200,2,6,0,2,521,26,8,177500,2400,3.0,12,26
357,65.0,9248,6,1992,1992,560,598,1158,1167,2,6,0,2,400,26,7,173000,2325,3.0,17,146
358,44.0,4224,5,1976,1976,874,268,1142,1142,1,6,1,2,528,90,8,134000,2284,2.5,31,626
359,92.0,6930,5,1958,1958,300,468,1062,1352,1,6,0,1,288,0,7,130000,2414,1.5,48,462
360,78.0,12011,8,1998,1998,956,130,1086,1924,2,7,1,2,592,75,6,280000,3010,3.5,8,657
361,73.0,7540,6,1978,1978,773,115,888,912,1,5,1,2,470,0,6,156000,1800,2.0,29,192
362,52.0,9144,5,1940,1982,399,484,883,1505,1,8,0,1,240,0,7,145000,2388,2.0,68,0
363,64.0,7301,7,2003,2003,0,0,0,1922,3,7,1,2,672,0,7,198500,1922,3.0,6,177
364,21.0,1680,6,1972,2007,162,321,483,987,1,5,0,1,264,0,5,118000,1470,1.5,37,250
365,80.0,18800,6,1976,1976,712,84,796,1574,2,6,1,2,566,111,7,190000,2370,3.5,30,417
366,59.0,10690,5,1920,1997,456,216,672,1344,1,6,0,1,468,128,7,147000,2016,1.0,89,346
367,73.0,9500,6,1963,1963,609,785,1394,1394,1,6,2,2,514,76,7,159000,2788,2.5,46,261
368,101.0,9150,6,1962,1962,371,728,1099,1431,1,6,1,1,296,110,12,165000,2530,1.5,46,174
369,78.0,7800,5,1954,1954,540,728,1268,1268,1,7,1,1,244,98,3,132000,2536,1.0,56,98
370,73.0,9830,5,1959,2006,72,733,1063,1287,1,7,1,2,576,17,3,162000,2350,2.0,51,563
371,65.0,8121,6,2000,2000,0,953,953,1664,2,7,1,2,460,40,1,172400,2617,2.5,6,140
372,80.0,17120,4,1959,1959,0,0,0,1588,2,7,1,2,680,59,7,134432,1588,2.0,49,59
373,50.0,7175,6,1984,1984,623,0,744,752,1,4,0,1,264,0,2,125000,1496,2.0,26,443
374,79.0,10634,5,1953,1953,428,0,608,1319,1,5,0,1,270,0,11,123000,1927,2.0,56,66
375,65.0,8200,7,2003,2004,0,847,847,1928,2,8,1,2,434,48,7,219500,2775,2.5,4,148
376,65.5,10020,1,1922,1950,350,333,683,904,0,4,0,0,0,0,3,61000,1587,1.5,87,0
377,57.0,8846,5,1996,1996,298,572,870,914,1,5,0,2,576,0,7,148000,1784,1.0,10,0
378,102.0,11143,8,2004,2005,0,1580,1580,2466,3,8,1,2,610,214,12,340000,4046,3.0,3,373
379,88.0,11394,9,2010,2010,1445,411,1856,1856,1,8,1,3,834,0,6,394432,3712,2.5,0,113
380,60.0,8123,6,2000,2000,0,982,982,1800,2,7,1,2,463,63,6,179000,2782,2.5,9,163
381,50.0,5000,5,1924,1950,218,808,1026,1691,2,6,1,1,308,0,5,127000,2717,2.0,86,242
382,60.0,7200,7,2006,2006,0,1293,1293,1301,2,5,1,2,572,121,8,187750,2594,3.0,0,337
383,79.0,9245,7,2006,2006,0,939,939,1797,2,8,0,2,639,53,4,213500,2736,2.5,1,197
384,60.0,9000,6,1928,1950,0,784,784,784,1,5,0,2,360,0,10,76000,1568,1.0,81,91
385,80.0,53107,6,1992,1992,985,595,1580,1953,2,9,2,2,501,231,6,240000,3533,3.5,15,447
386,43.0,3182,8,2004,2005,24,1232,1256,1269,2,6,1,2,430,20,4,192000,2525,2.0,6,310
387,58.0,8410,5,1910,1996,0,658,658,1184,1,8,0,0,0,151,5,81000,1842,1.0,96,151
388,72.0,7200,6,1976,1976,631,410,1041,1125,1,6,1,1,352,0,10,125000,2166,2.0,33,296
389,93.0,9382,7,1999,2000,0,1468,1468,1479,2,6,0,2,577,25,7,191000,2947,2.0,9,145
390,96.0,12474,10,2007,2008,1280,402,1682,2332,2,9,1,3,846,134,8,426000,4014,3.5,1,330
391,50.0,8405,5,1900,1950,241,229,861,1367,1,7,0,1,384,130,4,119000,2228,2.0,108,242
392,71.0,12209,6,2001,2002,690,114,804,1961,2,7,1,2,560,192,6,215000,2765,3.5,8,317
393,73.0,8339,5,1959,1959,0,0,0,882,1,5,0,1,294,0,7,106500,882,1.0,48,0
394,52.0,7446,4,1941,1950,266,522,788,788,1,4,2,0,0,0,4,100000,1576,1.0,65,0
395,60.0,10134,5,1940,1950,0,735,735,1034,1,5,0,1,240,39,7,109000,1769,1.0,67,39
396,68.0,9571,5,1956,1956,739,405,1144,1144,1,6,0,1,596,0,6,129000,2288,2.0,54,44
397,60.0,7200,5,1972,1972,777,117,894,894,1,6,0,2,600,0,9,123000,1788,1.0,37,215
398,69.0,7590,5,1962,1962,540,324,864,1812,2,8,1,1,264,168,7,169500,2676,2.0,45,168
399,60.0,8967,5,1920,1950,0,961,961,1077,1,6,0,1,338,0,11,67000,2038,1.0,87,0
400,65.0,8125,7,2006,2007,812,280,1092,1550,2,7,0,2,438,168,10,241000,2642,3.0,3,168
401,38.0,14963,8,1996,1996,786,474,1260,1288,1,4,2,2,500,30,12,245500,2548,2.5,12,374
402,65.0,8767,7,2005,2005,24,1286,1310,1310,2,6,1,2,400,0,7,164990,2620,2.0,1,0
403,60.0,10200,5,1940,1997,0,672,672,672,1,4,0,1,240,0,8,108000,1344,1.0,68,168
404,93.0,12090,8,1998,1998,0,1141,1141,2263,2,10,1,2,420,123,7,258000,3404,2.5,8,267
405,65.0,10364,6,1995,1996,0,806,806,1572,2,7,1,2,373,40,5,168000,2378,2.5,12,40
406,71.0,9991,4,1976,1993,1116,165,1281,1620,2,8,1,2,490,78,6,150000,2901,3.0,33,198
407,51.0,10480,6,1936,1950,0,1064,1064,1639,1,6,0,1,240,0,3,115000,2703,1.0,72,0
408,63.0,15576,6,1915,1976,0,840,840,1680,2,8,0,1,308,0,3,177000,2520,2.0,93,160
409,109.0,14154,7,2006,2006,0,1063,1063,2172,2,9,1,3,947,62,8,280000,3235,2.5,1,254
410,85.0,10800,8,2007,2008,789,245,1034,2078,2,8,1,3,836,102,4,339750,3112,3.5,1,102
411,68.0,9571,5,1958,1958,0,1276,1276,1276,1,5,0,1,350,0,6,60000,2552,1.0,51,0
412,100.0,34650,5,1955,1955,1056,0,1056,1056,1,5,0,2,572,0,1,145000,2112,2.0,51,264
413,73.5,4403,7,2009,2009,578,892,1470,1478,2,7,1,2,484,144,6,222000,2948,3.5,1,144
414,56.0,8960,5,1927,1950,0,1008,1008,1028,1,5,1,2,360,0,3,115000,2036,1.0,83,130
415,59.0,11228,7,1993,1993,50,499,1080,2097,2,9,1,3,678,187,12,228000,3177,3.0,15,383
416,73.0,8899,7,2007,2007,24,1316,1340,1340,2,6,0,2,396,30,8,181134,2680,2.0,0,130
417,74.0,7844,6,1978,1978,209,463,672,1400,1,6,1,2,440,0,3,149500,2072,1.5,28,0
418,86.0,22420,6,1918,1950,1128,242,1370,2624,2,10,1,3,864,0,11,239000,3994,3.5,89,0
419,60.0,8160,5,1940,1950,312,444,756,1134,1,7,0,1,240,0,4,126000,1890,2.5,67,0
420,65.0,8450,5,1968,1968,775,281,1056,1056,1,6,1,1,304,85,7,142000,2112,2.0,42,269
421,78.0,7060,7,1997,1998,1309,35,1344,1344,2,8,0,4,784,0,11,206300,2688,4.0,11,0
422,80.0,16635,6,1977,2000,1246,356,1602,1602,2,8,1,2,529,0,6,215000,3204,2.5,32,240
423,100.0,21750,5,1954,1954,0,988,988,988,1,4,0,2,520,0,2,113000,1976,1.0,54,0
424,80.0,9200,8,1998,1998,986,484,1470,2630,2,8,1,3,696,66,6,315000,4100,3.5,10,66
425,72.0,9000,6,1956,1956,616,580,1196,1196,1,6,1,1,297,44,5,139000,2392,2.0,52,44
426,60.0,3378,7,1946,1992,0,651,651,1389,1,6,2,1,240,0,9,135000,2040,1.5,63,126
427,66.5,12800,7,1989,1989,1518,0,1518,1644,2,5,1,2,569,0,8,275000,3162,3.5,20,476
428,77.0,8593,4,1957,1957,288,619,907,907,1,5,0,1,352,0,7,109008,1814,1.0,51,0
429,64.0,6762,7,2007,2007,664,544,1208,1208,2,6,0,2,628,54,9,195400,2416,3.0,0,159
430,130.0,11457,6,1988,1988,1005,387,1392,1412,2,6,1,2,576,0,3,175000,2804,3.0,21,169
431,21.0,1680,6,1971,1971,387,96,483,987,1,4,0,1,264,0,7,85400,1470,1.5,37,0
432,60.0,5586,6,1920,1998,0,901,901,1198,1,7,0,0,0,98,9,79900,2099,1.0,88,98
433,24.0,1920,5,1971,1971,471,294,765,1365,1,6,0,2,440,36,8,122500,2130,2.5,36,276
434,100.0,10839,6,1997,1998,0,926,926,1604,2,7,1,2,470,36,7,181000,2530,2.5,11,36
435,21.0,1890,4,1972,1972,495,135,630,630,1,3,0,0,0,0,6,81000,1260,2.0,36,88
436,43.0,10667,7,1996,1996,385,70,799,1661,2,6,1,2,550,61,4,212000,2460,3.5,13,219
437,40.0,4400,6,1920,1950,0,648,648,1118,1,6,0,2,440,0,10,116000,1766,1.0,86,0
438,50.0,6000,6,1926,2004,0,884,884,904,1,4,0,1,180,0,1,119000,1788,1.0,83,105
439,40.0,4280,5,1913,2002,365,75,440,694,1,4,1,1,352,0,3,90350,1134,1.0,94,34
440,67.0,12354,6,1920,2000,0,684,684,1196,1,7,0,2,528,46,8,110000,1880,1.0,89,46
441,105.0,15431,10,2008,2008,1767,788,3094,2402,2,10,2,3,672,72,4,555000,5496,3.0,1,242
442,92.0,12108,4,1955,1955,133,1307,1440,1440,2,8,0,0,0,0,9,118000,2880,2.0,53,0
443,52.0,6240,5,1930,1992,0,1078,1078,1573,2,8,1,2,360,0,6,162900,2651,2.0,78,0
444,53.0,3922,7,2006,2007,0,1258,1258,1258,2,6,1,3,648,16,6,172500,2516,2.0,1,160
445,70.0,8750,7,1994,1995,642,273,915,1908,2,8,1,2,493,133,7,210000,2823,3.5,14,277
446,73.0,9855,6,1956,1956,0,1436,1436,1689,1,7,1,2,480,0,11,127500,3125,1.0,53,0
447,137.0,16492,6,1966,2002,247,557,1517,1888,2,6,1,2,578,0,6,190000,3405,2.5,44,0
448,65.0,11214,7,1998,1999,0,930,930,1886,2,10,1,2,431,0,7,199900,2816,2.5,8,89
449,50.0,8600,6,1937,1950,0,780,780,1376,2,7,1,1,198,0,6,119500,2156,2.0,69,0
450,50.0,6000,3,1948,2002,331,318,649,1183,1,6,0,1,308,176,6,120000,1832,1.5,59,176
451,70.0,5684,6,1930,2005,0,813,813,813,1,5,0,1,270,113,6,110000,1626,1.0,76,113
452,62.0,70761,7,1975,1975,655,878,1533,1533,2,5,2,2,576,54,12,280000,3066,3.0,31,254
453,85.0,9303,6,1996,1997,742,130,872,1756,2,7,0,2,422,122,7,204000,2628,3.5,11,266
454,75.0,9000,8,2008,2008,0,768,768,1590,2,6,0,2,676,30,6,210000,2358,2.5,1,30
455,63.0,9297,5,1976,1976,1606,122,1728,1728,2,8,0,2,560,0,7,188000,3456,4.0,30,0
456,80.0,9600,7,1973,1973,916,326,1242,1242,1,6,1,2,528,0,9,175500,2484,1.5,34,0
457,34.0,4571,5,1916,1950,0,624,624,1344,1,7,0,3,513,0,5,98000,1968,1.0,92,96
458,80.0,53227,4,1954,1994,1116,248,1364,1663,1,6,2,2,529,137,3,256000,3027,2.0,54,361
459,60.0,5100,8,1925,1996,0,588,588,1666,1,7,1,1,228,63,6,161000,2254,1.0,83,255
460,52.0,7015,5,1950,1950,185,524,709,1203,1,5,1,1,352,0,7,110000,1912,2.0,59,248
461,75.0,8004,8,2009,2009,544,288,832,1935,2,8,0,2,552,150,12,263435,2767,3.5,0,150
462,60.0,7200,7,1936,2007,350,0,560,1135,1,6,0,2,576,0,4,155000,1695,2.0,73,256
463,60.0,8281,5,1965,1965,553,0,864,864,1,5,1,1,360,0,12,62383,1728,1.0,44,236
464,74.0,11988,6,1934,1995,326,389,715,1660,1,6,1,1,240,0,8,188700,2375,1.5,74,0
465,60.0,8430,5,1978,1978,616,424,1040,1040,2,5,0,0,0,0,8,124000,2080,2.0,31,0
466,43.0,3072,7,2004,2004,0,1375,1375,1414,2,6,1,2,398,20,5,178740,2789,2.0,2,164
467,85.0,10628,7,1970,1970,778,499,1277,1277,1,5,1,2,526,0,4,167000,2554,2.0,37,176
468,79.0,9480,5,1942,1995,386,342,728,1644,1,7,2,1,312,0,6,146500,2372,1.5,65,168
469,98.0,11428,8,2006,2006,0,1626,1626,1634,2,7,1,3,866,44,5,250000,3260,2.0,1,44
470,76.0,9291,6,1993,1993,426,406,832,1710,2,7,0,2,506,70,6,187000,2542,2.5,15,214
471,61.5,6820,8,1985,1985,368,0,1488,1502,1,4,0,2,528,54,6,212000,2990,2.5,25,194
472,92.0,11952,7,1977,1977,0,808,808,1969,2,8,1,2,534,0,11,190000,2777,2.5,30,276
473,35.0,3675,6,2005,2005,459,88,547,1072,1,5,0,2,525,28,6,148000,1619,2.0,3,28
474,110.0,14977,8,2006,2007,1350,626,1976,1976,2,7,1,3,908,63,7,440000,3952,3.0,1,313
475,41.0,5330,8,2000,2000,1196,298,1494,1652,2,6,0,2,499,48,8,251000,3146,3.0,7,144
476,80.0,8480,5,1963,1963,630,340,970,970,1,5,0,2,624,24,7,132500,1940,2.0,44,216
477,75.0,13125,6,1997,1998,994,484,1478,1493,2,7,1,2,508,39,4,208900,2971,3.0,11,179
478,105.0,13693,9,2006,2006,0,2153,2153,2643,2,9,1,3,694,84,3,380000,4796,2.5,1,498
479,79.0,10637,8,2007,2008,1288,417,1705,1718,2,7,1,3,826,44,9,297000,3423,3.0,2,252
480,50.0,5925,4,1937,2000,168,739,907,1131,1,7,0,2,672,72,3,89471,2038,1.0,70,72
481,98.0,16033,9,2004,2005,1261,572,1833,1850,2,8,1,3,772,112,3,326000,3683,3.0,2,631
482,72.0,11846,9,2003,2004,1567,225,1792,1792,2,6,1,3,874,49,8,374000,3584,3.0,3,255
483,50.0,2500,7,1915,2005,299,611,910,1826,1,7,1,1,164,0,6,155000,2736,2.5,94,0
484,32.0,4500,6,1998,1998,897,319,1216,1216,2,5,0,2,402,125,5,164000,2432,3.0,8,125
485,71.0,7758,5,1962,2001,588,411,999,999,1,6,0,1,264,132,3,132500,1998,2.0,45,132
486,80.0,9600,5,1950,2007,607,506,1113,1113,1,5,1,1,264,80,7,147000,2226,1.0,59,200
487,79.0,10289,5,1965,1965,836,237,1073,1073,1,6,0,2,515,0,6,156000,2146,2.5,42,0
488,70.0,12243,5,1971,1971,998,486,1484,1484,2,7,1,2,487,0,2,175000,2968,2.0,36,404
489,60.0,10800,5,1900,1970,664,290,954,2414,2,10,1,2,520,0,5,160000,3368,2.0,106,142
490,21.0,1526,4,1970,2002,515,115,630,630,1,3,0,1,286,0,5,86000,1260,2.0,39,0
491,21.0,2665,5,1976,1976,0,264,264,1304,1,4,1,1,336,24,6,115000,1568,1.5,32,165
492,79.0,9490,6,1941,1950,403,238,806,1578,1,5,2,1,240,0,8,133000,2384,2.0,65,32
493,105.0,15578,6,2006,2006,0,728,728,1456,2,8,0,2,429,0,5,172785,2184,2.5,0,0
494,70.0,7931,5,1960,1960,374,363,1269,1269,1,6,1,1,308,0,6,155000,2538,1.5,48,0
495,50.0,5784,5,1938,1996,0,190,190,886,1,4,0,1,273,20,12,91300,1076,1.0,71,244
496,60.0,7879,4,1920,1950,495,225,720,720,1,4,0,0,0,523,11,34900,1440,1.0,89,638
497,91.0,12692,8,1992,1993,1231,1969,3200,3228,3,10,1,2,546,75,5,430000,6428,4.0,15,630
498,60.0,9120,7,1925,1950,329,697,1026,1820,2,8,0,1,240,100,6,184000,2846,3.0,83,100
499,65.0,7800,5,1967,2004,450,414,864,899,1,5,0,1,288,0,6,130000,1763,1.0,42,64
500,70.0,7535,5,1958,1985,111,522,912,912,1,5,0,1,297,285,6,120000,1824,1.5,49,297
501,21.0,1890,6,1973,1973,356,316,672,1218,1,7,0,1,264,28,5,113000,1890,1.5,34,172
502,75.0,9803,7,2005,2005,400,466,866,1768,2,7,0,2,603,108,2,226700,2634,2.5,3,108
503,70.0,9170,5,1965,1965,698,420,1214,1214,1,6,0,2,461,0,4,140000,2428,2.0,42,184
